Format Version,1.23,Take Name,Illuminance Optitrack_solved,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-05-09 03.20.26.743,Capture Start Frame,1623671,Total Frames in Take,16332,Total Exported Frames,16332,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Belichtungsmesser,Belichtungsmesser,Belichtungsmesser,Belichtungsmesser,Belichtungsmesser,Belichtungsmesser,Belichtungsmesser
,ID,CB533F304BA611F1291E8F4A9A9044A0,CB533F304BA611F1291E8F4A9A9044A0,CB533F304BA611F1291E8F4A9A9044A0,CB533F304BA611F1291E8F4A9A9044A0,CB533F304BA611F1291E8F4A9A9044A0,CB533F304BA611F1291E8F4A9A9044A0,CB533F304BA611F1291E8F4A9A9044A0
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
228,1.900000,-0.355573,0.605800,-0.512624,-0.493752,-4257.442637,1308.893394,-2565.941401
229,1.908000,-0.361342,0.602572,-0.509177,-0.497070,-4257.150637,1307.974151,-2562.333469
230,1.917000,-0.365970,0.598772,-0.506251,-0.501246,-4256.957073,1307.262550,-2558.728996
231,1.925000,-0.369536,0.594536,-0.503143,-0.506771,-4256.797767,1306.756476,-2554.926435
232,1.933000,-0.373234,0.589464,-0.500316,-0.512749,-4256.685947,1306.073064,-2550.955496
233,1.942000,-0.375998,0.582891,-0.498102,-0.520344,-4256.564778,1305.606207,-2546.842035
234,1.950000,-0.378261,0.576071,-0.495978,-0.528268,-4256.210325,1305.044980,-2542.599529
235,1.958000,-0.379217,0.572089,-0.491192,-0.536319,-4256.004199,1304.702293,-2538.650602
236,1.967000,-0.380781,0.565860,-0.487037,-0.545530,-4255.624387,1304.425397,-2534.226579
237,1.975000,-0.383583,0.556785,-0.484708,-0.554899,-4254.853909,1303.493587,-2529.361415
238,1.983000,-0.384723,0.549160,-0.481591,-0.564342,-4254.368091,1303.035888,-2524.959883
239,1.992000,-0.386570,0.540085,-0.478546,-0.574339,-4253.592078,1302.513271,-2520.286853
240,2.000000,-0.387712,0.532565,-0.474324,-0.584012,-4252.951627,1302.034188,-2515.814569
