meter_frame;measured_lux;calculated_lux;delta_lux;error_pct;error_stops;dist_to_fix_m;gamma_fix_deg;meter_tx;meter_ty;meter_tz;meter_qx;meter_qy;meter_qz;meter_qw;calculated_lux_ff;delta_lux_ff;error_pct_ff;error_stops_ff;calculated_lux_kern_10deg;delta_lux_kern_10deg;error_pct_kern_10deg;error_stops_kern_10deg;calculated_lux_kern_5deg;delta_lux_kern_5deg;error_pct_kern_5deg;error_stops_kern_5deg;calculated_lux_revf;delta_lux_revf;error_pct_revf;error_stops_revf
2149;22.0000;9.0421;-12.9579;-58.8997;-1.2828;1.2875;47.191;-910.349976;1129.619019;160.891220;0.360923;-0.370663;0.239802;-0.821486;21.5877;-0.4123;-1.8740;-0.0273;344.5852;322.5852;1466.2966;3.9693;120.4872;98.4872;447.6689;2.4533;16.0543;-5.9457;-27.0258;-0.4545
2166;18.0000;8.0979;-9.9021;-55.0114;-1.1524;1.2847;48.706;-889.535645;1246.882324;95.438881;0.261050;-0.398039;0.236267;-0.847110;18.4979;0.4979;2.7661;0.0394;290.4483;272.4483;1513.6017;4.0122;84.4951;66.4951;369.4173;2.2309;16.9848;-1.0152;-5.6400;-0.0838
2183;17.0000;7.4329;-9.5671;-56.2773;-1.1935;1.2891;49.489;-885.042908;1369.594360;53.056244;0.165530;-0.418522;0.215672;-0.866559;17.7738;0.7738;4.5520;0.0642;254.5514;237.5514;1397.3611;3.9044;57.6660;40.6660;239.2118;1.7622;16.9447;-0.0553;-0.3251;-0.0047
2200;16.0000;6.5514;-9.4486;-59.0537;-1.2882;1.2853;50.303;-873.088684;1470.312378;33.712997;0.087858;-0.476274;0.176581;-0.856892;16.0353;0.0353;0.2207;0.0032;216.8139;200.8139;1255.0869;3.7603;35.8526;19.8526;124.0788;1.1640;16.3327;0.3327;2.0792;0.0297
2218;18.0000;7.0620;-10.9380;-60.7668;-1.3499;1.2557;49.635;-866.856750;1529.483032;64.660286;0.015425;-0.552334;0.121621;-0.824559;15.8890;-2.1110;-11.7276;-0.1800;227.5563;209.5563;1164.2018;3.6602;31.2735;13.2735;73.7418;0.7969;16.3296;-1.6704;-9.2798;-0.1405
2313;2597.0000;3535.0525;938.0525;36.1206;0.4449;1.0845;19.628;-1062.762817;1627.393311;681.790283;-0.031258;-0.705091;0.037773;-0.707420;2493.4661;-103.5339;-3.9867;-0.0587;2354.5540;-242.4460;-9.3356;-0.1414;2505.9966;-91.0034;-3.5042;-0.0515;2650.8794;53.8794;2.0747;0.0296
2353;3197.0000;4087.1550;890.1550;27.8434;0.3544;1.0737;8.921;-1095.573486;1606.416626;892.832397;-0.006819;-0.732245;0.053361;-0.678914;3159.0293;-37.9707;-1.1877;-0.0172;2803.9609;-393.0391;-12.2940;-0.1893;2941.3999;-255.6001;-7.9950;-0.1202;3005.8054;-191.1946;-5.9804;-0.0890
2372;3397.0000;4531.9229;1134.9229;33.4096;0.4159;1.0109;6.755;-1036.968872;1600.623291;948.004028;-0.011317;-0.759321;0.059586;-0.647883;3400.3594;3.3594;0.0989;0.0014;3182.4922;-214.5078;-6.3146;-0.0941;3311.8728;-85.1272;-2.5060;-0.0366;3304.5676;-92.4324;-2.7210;-0.0398
2380;3397.0000;4615.2280;1218.2280;35.8619;0.4421;1.0020;6.083;-1028.923096;1603.272949;972.827942;-0.014084;-0.759212;0.050112;-0.648759;3393.4438;-3.5562;-0.1047;-0.0015;3270.9597;-126.0403;-3.7103;-0.0545;3395.6848;-1.3152;-0.0387;-0.0006;3373.1387;-23.8613;-0.7024;-0.0102
2415;3197.0000;4175.5361;978.5361;30.6079;0.3852;1.0480;5.038;-1075.098511;1601.513794;1025.588257;-0.035800;-0.784587;0.044738;-0.617366;3127.0115;-69.9885;-2.1892;-0.0319;2986.6936;-210.3064;-6.5782;-0.0982;3090.6597;-106.3403;-3.3263;-0.0488;3087.7056;-109.2944;-3.4187;-0.0502
2427;3197.0000;4206.7412;1009.7412;31.5840;0.3960;1.0454;4.937;-1072.294434;1599.116333;1035.995117;-0.027677;-0.785739;0.043200;-0.616427;3193.4893;-3.5107;-0.1098;-0.0016;3006.6553;-190.3447;-5.9539;-0.0886;3111.7354;-85.2646;-2.6670;-0.0390;3107.5591;-89.4409;-2.7977;-0.0409
